"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 01, 2020","7.50","7.80","7.80","7.30","6.48K","-3.85%"
"Mar 31, 2020","7.80","7.10","7.90","7.00","7.78K","5.41%"
"Mar 30, 2020","7.40","8.60","8.60","7.40","16.18K","-9.76%"
"Mar 27, 2020","8.20","9.40","9.40","8.15","11.27K","-5.20%"
"Mar 26, 2020","8.65","8.45","9.00","7.85","31.37K","2.37%"
"Mar 25, 2020","8.45","9.00","9.00","8.25","16.97K","-0.59%"
"Mar 24, 2020","8.50","7.75","8.50","7.30","43.33K","9.68%"
"Mar 23, 2020","7.75","7.80","8.50","7.15","20.97K","-0.64%"
"Mar 20, 2020","7.80","7.90","8.00","7.00","61.41K","6.12%"
"Mar 19, 2020","7.35","7.20","7.90","6.25","22.84K","5.76%"
"Mar 18, 2020","6.95","6.80","7.20","5.90","57.00K","13.93%"
"Mar 17, 2020","6.10","5.95","6.30","5.40","34.15K","10.91%"
"Mar 16, 2020","5.50","5.95","6.30","5.30","33.02K","-7.56%"
"Mar 13, 2020","5.95","5.10","6.85","5.10","39.45K","0.00%"
"Mar 12, 2020","5.95","6.35","7.15","5.75","31.67K","-15.60%"
"Mar 11, 2020","7.05","7.75","7.75","6.95","9.95K","0.00%"
"Mar 09, 2020","7.05","7.25","7.75","6.70","15.59K","-2.76%"
"Mar 06, 2020","7.25","8.25","8.25","7.10","18.29K","-9.38%"
"Mar 05, 2020","8.00","7.80","8.15","7.40","22.13K","5.26%"
"Mar 04, 2020","7.60","8.00","8.05","7.50","6.09K","-3.18%"
"Mar 03, 2020","7.85","8.45","8.45","7.75","9.48K","-1.26%"
"Mar 02, 2020","7.95","7.80","8.35","7.70","7.42K","1.27%"